Name,Type,Sub_Type,Specification,embedded_schema,Weight,value_type,Description,is_contribute_rating_overall
rating_overall,Principal,None,"Using the value from the attribute 'overall\_score', determine a rating.

\[9-10]: exceptional
[8-9): very high
[7-8): high
[6-7): average
under 6: poor",,Not Applicable,Text,overall rating,False
skills_df,Technical,Skill,"List of dictionaries. Dictionary attributes:
-- skill:
-- type: technical, professional, language, artistic, etc
-- labels:
-- score:
-- source:
source\_details:","skill: text
type: text
labels: list of text
score: integer
source: text
source: text",Not Applicable,List,"Be exhaustive. List all the technical and professional skills. Use the resume/ interview evaluations/ code evaluations. Provide information on the source for the information.
LABELS AND SCORES
==================
Use labels to describe the quality of the information. 
-- verified: (if the evaluation was performed on the basis of a code base evaluation or was validated in an interview evaluation). score:10
-- verifiable: if there's a URL or certificate id present and the certificate in itself demonstrates the skill. score: 10 
-- detailed: (if referenced in the context of a role or project). score: 7
-- listed: if the skill is part of a list but for which there is no context. score:5

note: Only include an item in source IF we actually have content originating from that source.",False
degrees_df,Core,None,"List of dictionaries. Attributes
-- degree: of(AA, BA, AB, MA, MS, PhD, etc)
-- major:
-- institution
-- year\_of\_graduation:",,Not Applicable,List,Higher education degrees,False
residence_state,Basic,None,,,Not Applicable,Text,"United States state as can be determined by residence address, telephone  area code, or location of latest onsite employer; for example, Washington, California, New York",False
has_scrum_master_exp,Experience,None,,,8,Boolean,"Has held a scrum master role. To be eligible, person must have held a title with scrum master in the name.",False
consulting_firm_experience_df,Core,None,"When the candidate resume includes work at a consulting firm, take into account the roles within that consulting firm to capture those company experiences. The term ""consult"" is required in order for it to be considered consulting work. Answer: ""Yes"" or No"" and provide a summary.",,Not Applicable,List,Job experience acquired thru consulting assignments. Only include if work is done for recognized consulting firms.,False
has_tableau,Technical,Skill,,,3,Boolean,Has Tableau experience? Tableau is the reporting tool.,False
skill_opportunities_for_improvement_df,Technical,Skill,"List of dictionaries. Dictionary attributes:
-- area\_for\_improvement:
-- recommendation:
-- level\_of\_effort\_required:
-- benefit\_from\_improvement:
-- attributes\_affected: {
attribute\_name:
init\_rating:
init\_eval:
revised\_possible\_rating:
revised\_possible\_eval:
}","-- area_for_improvement: Text
-- recommendation: Text
-- level_of_effort_required:Integer (1-10)
-- benefit from improvement: Text

attribute_name: Textinit_rating:Integer
init_eval:Text
revised_possible_rating:Integer
revised_possible_eval:Text",Not Applicable,List,"Given the person's experience and skills, what five areas exist for personal and professional development that would make the person a better practitioner? If their toolset is dated, what newer tools and technologies make sense for their areas of practice?

We're looking for suggestions to enhance obvious gaps in their tool set.

For example:
-- If the person has only one programming language, they could learn another one.
--  If the person knows only relational database, they could learn a document database or a graph database.",False
rating_interview_evaluations,Core,None,"0 absolutely not; 2 needs work; 4 acceptable; 6 experienced; 8  high performer; 10 exceptional;  -1 if no candidate evaluation is available.

If -1, do not include it in the overall\_rating.",,30,Decimal,What's the summary evaluation of the candidate? Takes into account all available interview evaluations.,True
strategic_impact_df,Core,None,"List of dictionaries. Dictionary attributes:
-- achievement:
-- job title:
-- employer:
-- client:",,Not Applicable,List,"Work history strategic impacts; for example: transitioned company to first position in Cloud Computing. These are outsized accomplishments, taking credit for very large  wins. Only look at past 7 years. Do not include work that could be taken as routine for the role.",False
